abb,state,2017,2018,2019,2020
AK,Alaska,2,2,2,2
AL,Alabama,0,0,0,0
AR,Arkansas,1,1,1,1
AZ,Arizona,1,1,1,1
CA,California,2,2,2,2
CO,Colorado,1,1,1,1
CT,Connecticut,2,2,2,2
DC,District of Columbia,2,2,2,2
DE,Delaware,2,2,2,2
FL,Florida,1,1,1,1
GA,Georgia,0,0,1,1
HI,Hawaii,0,0,0,2
IA,Iowa,1,1,2,2
ID,Idaho,1,1,1,1
IL,Illinois,2,2,2,2
IN,Indiana,1,1,1,1
KS,Kansas,1,1,1,1
KY,Kentucky,1,1,1,1
LA,Louisiana,0,0,0,0
MA,Massachusetts,2,2,2,2
MD,Maryland,2,2,2,2
ME,Maine,2,2,2,2
MI,Michigan,2,2,2,2
MN,Minnesota,2,2,2,2
MO,Missouri,1,1,1,1
MS,Mississippi,1,1,1,1
MT,Montana,2,2,2,2
NC,North Carolina,1,1,1,1
ND,North Dakota,0,0,0,0
NE,Nebraska,0,0,0,0
NH,New Hampshire,2,2,2,2
NJ,New Jersey,2,2,2,2
NM,New Mexico,2,2,2,2
NV,Nevada,2,2,2,2
NY,New York,2,2,2,2
OH,Ohio,1,1,1,1
OK,Oklahoma,2,2,2,2
OR,Oregon,2,2,2,2
PA,Pennsylvania,2,2,2,2
RI,Rhode Island,2,2,2,2
SC,South Carolina,1,1,1,1
SD,South Dakota,0,0,0,0
TN,Tennessee,1,1,1,1
TX,Texas,2,2,2,2
UT,Utah,1,1,1,1
VA,Virginia,1,2,2,2
VT,Vermont,2,2,2,2
WA,Washington,1,1,1,1
WI,Wisconsin,2,2,2,2
WV,West Virginia,0,0,0,0
WY,Wyoming,0,0,0,0
