abb,state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.6,0.8,1,1.25,1.5,1.75,2,2.5,3,3.5,4,4.5,5,6,7,8,9,10
CA,California,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,9,17,18,19,20,20,20,20,21.7,23.4,25,27,29,31,33
CO,Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,12,12,12,12,20,20,20,20,20,30
CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,5,6.5,8,9,10,11,12,13,14,15.5,17,18.5,21,23.5,25
DC,District of Columbia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.005,4.511,5.019,5.528,6.9,8,9.5,11.1,12.7,14.325,15.98,17.65,19.5,21.7
DE,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,7,8.5,10,11.5,13,14.5,17.5,19,20
FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,30
IA,Iowa,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
ID,Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,2,4,5,6,7,8,9,10,11.5,13,14.5,16
IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,6.1,10,10,10,10,0,0,0,0,0,0
KY,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2,2.5,3,3.5,4,5,6,7,8,9,10,11,12,13,14,15
MD,Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,3.5,3.5,4.5,4.5,5.5,7.5,9,10.7,12.8,13.8,15.2,15.6,18.3,20.4,28
ME,Maine,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,31,32,33,34,35,36,37,38,39,40,40,40,44
MI,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.5,3.5,4.8,5.7,6.8,10,10,10,10,12.5,12.5
MN,Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,15,16.5,18,19.5,21,23,25,26,27.5,29,30
MO,Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,2,2,2,5,5,5,5,10,10,10
MS,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,5,5,10,10,10,10,10,15,15,15,15,15,15
NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,3,3,3,6,6,6,10,10,10
ND,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7.54,9.58,5.55,5.8,7.2,8.3,9.2,17.6,18.5,19.4,20.7
NJ,New Jersey,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3.24,3.48,4.54,5.42,6.34,7.19,8,8.82,9.64,10.48,11.31,12.15,12.99,14.83,16.67,18.7
